ID,AREA_TITLE,PRIM_STATE,OCC_TITLE,TOT_EMP,A_MEAN
,Alabama,AL,Chief Executives,810,201200
,Alabama,AL,General and Operations Managers,30170,137760
,Alabama,AL,Advertising and Promotions Managers,60,109360
,Alabama,AL,Marketing Managers,1540,135310
,Alabama,AL,Sales Managers,4670,136400
,Alabama,AL,Public Relations Managers,540,112490
,Alabama,AL,Fundraising Managers,210,103500
,Alabama,AL,Administrative Services Managers,860,120610
,Alabama,AL,Facilities Managers,940,126100
,Alabama,AL,Computer and Information Systems Managers,7670,148000
,Alabama,AL,Financial Managers,7200,160120
,Alabama,AL,Industrial Production Managers,3620,129300
,Alabama,AL,Purchasing Managers,1520,132260
,Alabama,AL,"Transportation, Storage, and Distribution Managers",1250,124700
,Alabama,AL,Compensation and Benefits Managers,90,128960
,Alabama,AL,Human Resources Managers,2160,125490
,Alabama,AL,Training and Development Managers,150,135190
,Alabama,AL,Construction Managers,8560,102970
,Alabama,AL,"Education and Childcare Administrators, Preschool and Daycare",940,47370
,Alabama,AL,"Education Administrators, Kindergarten through Secondary",3020,96800
,Alabama,AL,"Education Administrators, Postsecondary",3760,116790
,Alabama,AL,Architectural and Engineering Managers,3790,167150
,Alabama,AL,Food Service Managers,4330,69200
,Alabama,AL,"Entertainment and Recreation Managers, Except Gambling",190,68790
,Alabama,AL,Lodging Managers,570,76570
,Alabama,AL,Medical and Health Services Managers,10360,105940
,Alabama,AL,Natural Sciences Managers,370,149190
,Alabama,AL,Postmasters and Mail Superintendents,280,97770
,Alabama,AL,"Property, Real Estate, and Community Association Managers",3510,65270
,Alabama,AL,Social and Community Service Managers,2350,77910
,Alabama,AL,Funeral Home Managers,490,71250
,Alabama,AL,"Managers, All Other",1970,134480
,Alabama,AL,Buyers and Purchasing Agents,8960,80360
,Alabama,AL,"Claims Adjusters, Examiners, and Investigators",4040,80130
,Alabama,AL,Compliance Officers,3770,78330
,Alabama,AL,Cost Estimators,3000,77050
,Alabama,AL,Human Resources Specialists,11080,72590
,Alabama,AL,Labor Relations Specialists,590,55100
,Alabama,AL,Logisticians,5190,100340
,Alabama,AL,Project Management Specialists,3190,109660
,Alabama,AL,Management Analysts,4900,116540
,Alabama,AL,"Meeting, Convention, and Event Planners",980,57690
,Alabama,AL,Fundraisers,1120,61260
,Alabama,AL,"Compensation, Benefits, and Job Analysis Specialists",1000,67730
,Alabama,AL,Training and Development Specialists,3000,71050
,Alabama,AL,Market Research Analysts and Marketing Specialists,8390,68500
,Alabama,AL,"Business Operations Specialists, All Other",6990,106330
,Alabama,AL,Accountants and Auditors,24300,81080
,Alabama,AL,Property Appraisers and Assessors,600,64210
,Alabama,AL,Budget Analysts,870,101420
,Alabama,AL,Credit Analysts,370,93100
,Alabama,AL,Financial and Investment Analysts,3410,99690
,Alabama,AL,Personal Financial Advisors,2540,132860
,Alabama,AL,Insurance Underwriters,1540,76480
,Alabama,AL,Financial Risk Specialists,180,89400
,Alabama,AL,Loan Officers,5050,83410
,Alabama,AL,"Tax Examiners and Collectors, and Revenue Agents",1300,63270
,Alabama,AL,Tax Preparers,290,34070
,Alabama,AL,"Financial Specialists, All Other",530,90540
,Alabama,AL,Computer Systems Analysts,6560,107430
,Alabama,AL,Information Security Analysts,4010,119070
,Alabama,AL,Computer and Information Research Scientists,570,124970
,Alabama,AL,Computer Network Support Specialists,940,66210
,Alabama,AL,Computer User Support Specialists,7360,53100
,Alabama,AL,Computer Network Architects,4200,128680
,Alabama,AL,Database Administrators,1840,96500
,Alabama,AL,Database Architects,270,118790
,Alabama,AL,Network and Computer Systems Administrators,5040,89490
,Alabama,AL,Computer Programmers,890,96410
,Alabama,AL,Software Developers,17450,122840
,Alabama,AL,Software Quality Assurance Analysts and Testers,1760,105650
,Alabama,AL,Web and Digital Interface Designers,130,73190
,Alabama,AL,"Computer Occupations, All Other",2630,106400
,Alabama,AL,Actuaries,190,124290
,Alabama,AL,Operations Research Analysts,550,117850
,Alabama,AL,Statisticians,200,79820
,Alabama,AL,Data Scientists,1740,105180
,Alabama,AL,"Architects, Except Landscape and Naval",990,110110
,Alabama,AL,Landscape Architects,230,94720
,Alabama,AL,Surveyors,910,71980
,Alabama,AL,Aerospace Engineers,5820,131910
,Alabama,AL,Bioengineers and Biomedical Engineers,30,95290
,Alabama,AL,Chemical Engineers,600,124470
