original,singular,changed
Accountants and Auditors,Accountant/Auditor,true
Actuaries,Actuary,true
Acupuncturists,Acupuncturist,true
Adhesive Bonding Machine Operators and Tenders,Adhesive Bonding Machine Operator,true
"Administrative Law Judges, Adjudicators, and Hearing Officers",Administrative Law Judge,true
Administrative Services Managers,Administrative Service Manager,true
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",English as a Second Language Instructor,true
Advertising Sales Agents,Advertising Sale Agent,true
Advertising and Promotions Managers,Advertising and Promotion Manager,true
Aerospace Engineering and Operations Technologists and Technicians,Aerospace Engineering Operations Technician,true
Aerospace Engineers,Aerospace Engineer,true
"Agents and Business Managers of Artists, Performers, and Athletes",Talent Agent,true
Agricultural Engineers,Agricultural Engineer,true
Agricultural Equipment Operators,Agricultural Equipment Operator,true
Agricultural Inspectors,Agricultural Inspector,true
"Agricultural Sciences Teachers, Postsecondary",Agricultural Science Teacher,true
Agricultural Technicians,Agricultural Technician,true
"Agricultural Workers, All Other",Agricultural Worker,true
Air Traffic Controllers,Air Traffic Controller,true
Aircraft Cargo Handling Supervisors,Aircraft Cargo Handling Supervisor,true
Aircraft Mechanics and Service Technicians,Aircraft Mechanic and Service Technician,true
Aircraft Service Attendants,Aircraft Service Attendant,true
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Aircraft Structure System Assembler,true
Airfield Operations Specialists,Airfield Operation Specialist,true
"Airline Pilots, Copilots, and Flight Engineers",Airline Pilot,true
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Ambulance Driver/Attendant,true
Amusement and Recreation Attendants,Amusement and Recreation Attendant,true
Anesthesiologists,Anesthesiologist,true
Animal Breeders,Animal Breeder,true
Animal Caretakers,Animal Caretaker,true
Animal Control Workers,Animal Control Worker,true
Animal Scientists,Animal Scientist,true
Animal Trainers,Animal Trainer,true
Anthropologists and Archeologists,Anthropologist/Archeologist,true
"Anthropology and Archeology Teachers, Postsecondary",Anthropology/Archeology Teacher (Postsecondary),true
"Arbitrators, Mediators, and Conciliators",Arbitrator/Mediator,true
"Architects, Except Landscape and Naval",Architect,true
Architectural and Civil Drafters,Architectural/Civil Drafter,true
Architectural and Engineering Managers,Architectural and Engineering Manager,true
"Architecture Teachers, Postsecondary",Architecture Teacher (Postsecondary),true
Archivists,Archivist,true
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Cultural Studies Teacher (Postsecondary),true
Art Directors,Art Director,true
"Art, Drama, and Music Teachers, Postsecondary",Art/Drama/Music Teacher (Postsecondary),true
"Artists and Related Workers, All Other",Artist,true
Astronomers,Astronomer,true
Athletes and Sports Competitors,Athlete,true
Athletic Trainers,Athletic Trainer,true
Atmospheric and Space Scientists,Atmospheric and Space Scientist,true
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Science Teacher (Postsecondary),true
Audio and Video Technicians,Audio and Video Technician,true
Audiologists,Audiologist,true
Audiovisual Equipment Installers and Repairers,Audiovisual Equipment Installer and Repairer,true
Automotive Body and Related Repairers,Automotive Body and Repairer,true
Automotive Glass Installers and Repairers,Automotive Glass Installer and Repairer,true
Automotive Service Technicians and Mechanics,Automotive Service Technician,true
Automotive and Watercraft Service Attendants,Automotive and Watercraft Service Attendant,true
Avionics Technicians,Avionic Technician,true
Baggage Porters and Bellhops,Baggage Porter/Bellhop,true
Bailiffs,Bailiff,true
Bakers,Baker,true
Barbers,Barber,true
Bartenders,Bartender,true
Bicycle Repairers,Bicycle Repairer,true
Bill and Account Collectors,Bill/Account Collector,true
Billing and Posting Clerks,Billing and Posting Clerk,true
Biochemists and Biophysicists,Biochemist/Biophysicist,true
Bioengineers and Biomedical Engineers,Biomedical Engineer,true
"Biological Science Teachers, Postsecondary",Biological Science Teacher (Postsecondary),true
"Biological Scientists, All Other",Biological Scientist,true
Biological Technicians,Biological Technician,true
Boilermakers,Boilermaker,true
"Bookkeeping, Accounting, and Auditing Clerks","Accounting, and Auditing Clerk",true
Brickmasons and Blockmasons,Brickmason,true
Bridge and Lock Tenders,Bridge and Lock Tender,true
Broadcast Announcers and Radio Disc Jockeys,Broadcast Announcer/Radio Disc Jockey,true
Broadcast Technicians,Broadcast Technician,true
Brokerage Clerks,Brokerage Clerk,true
Budget Analysts,Budget Analyst,true
"Building Cleaning Workers, All Other",Building Cleaning Worker,true
"Bus Drivers, School",Schoolbus Driver,true
"Bus Drivers, Transit and Intercity",Bus Driver,true
Bus and Truck Mechanics and Diesel Engine Specialists,Bus and Truck Mechanic,true
"Business Operations Specialists, All Other",Business Operation Specialist,true
"Business Teachers, Postsecondary",Business Teacher (Postsecondary),true
Butchers and Meat Cutters,Butcher,true
Buyers and Purchasing Agents,Buyer/Purchasing Agent,true
Cabinetmakers and Bench Carpenters,Cabinetmaker,true
Calibration Technologists and Technicians,Calibration Technologist,true
"Camera Operators, Television, Video, and Film",Camera Operator,true
Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairer,true
"Captains, Mates, and Pilots of Water Vessels",Captain of Water Vessel,true
Cardiologists,Cardiologist,true
Cardiovascular Technologists and Technicians,Cardiovascular Technologist,true
"Career/Technical Education Teachers, Middle School",Career/Technical Education Teacher (Middle School),true
"Career/Technical Education Teachers, Postsecondary",Career/Technical Education Teacher (Postsecondary),true
"Career/Technical Education Teachers, Secondary School",Career/Technical Education Teacher (Secondary School),true
Cargo and Freight Agents,Cargo Agent,true
Carpenters,Carpenter,true
Carpet Installers,Carpet Installer,true
Cartographers and Photogrammetrists,Cartographer,true
Cashiers,Cashier,true
Cement Masons and Concrete Finishers,Cement Mason,true
Chefs and Head Cooks,Head Cook/Chef,true
Chemical Engineers,Chemical Engineer,true
Chemical Equipment Operators and Tenders,Chemical Equipment Operator and Tender,true
Chemical Plant and System Operators,Chemical Plant and System Operator,true
Chemical Technicians,Chemical Technician,true
"Chemistry Teachers, Postsecondary",Chemistry Teacher (Postsecondary),true
Chemists,Chemist,true
Chief Executives,Chief Executive,true
"Child, Family, and School Social Workers",Social Worker,true
Childcare Workers,Childcare Worker,true
Chiropractors,Chiropractor,true
Choreographers,Choreographer,true
Civil Engineering Technologists and Technicians,Civil Engineering Technologist,true
Civil Engineers,Civil Engineer,true
"Claims Adjusters, Examiners, and Investigators",Claim Adjuster/Investigator,true
Cleaners of Vehicles and Equipment,Vehicle and Equipment Cleaner,true
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Cleaning Equipment Operator,true
Clergy,Clergy,false
Clinical Laboratory Technologists and Technicians,Clinical Laboratory Technologist,true
Clinical and Counseling Psychologists,Clinical/Counseling Psychologist,true
Coaches and Scouts,Coach/Scout,true
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Painting Machine Operator,true
"Coil Winders, Tapers, and Finishers",Coil Winder,true
"Coin, Vending, and Amusement Machine Servicers and Repairers",Coin/Vending/Amusement Machine Servicer,true
Commercial Divers,Commercial Diver,true
Commercial Pilots,Commercial Pilot,true
Commercial and Industrial Designers,Commercial and Industrial Designer,true
