ID,AREA_TITLE,PRIM_STATE,OCC_TITLE,TOT_EMP,A_MEAN
1,Alabama,AL,Chief Executives,810,201200
2,Alabama,AL,General and Operations Managers,30170,137760
3,Alabama,AL,Advertising and Promotions Managers,60,109360
4,Alabama,AL,Marketing Managers,1540,135310
5,Alabama,AL,Sales Managers,4670,136400
6,Alabama,AL,Public Relations Managers,540,112490
7,Alabama,AL,Fundraising Managers,210,103500
8,Alabama,AL,Administrative Services Managers,860,120610
9,Alabama,AL,Facilities Managers,940,126100
10,Alabama,AL,Computer and Information Systems Managers,7670,148000
11,Alabama,AL,Financial Managers,7200,160120
12,Alabama,AL,Industrial Production Managers,3620,129300
13,Alabama,AL,Purchasing Managers,1520,132260
14,Alabama,AL,"Transportation, Storage, and Distribution Managers",1250,124700
15,Alabama,AL,Compensation and Benefits Managers,90,128960
16,Alabama,AL,Human Resources Managers,2160,125490
17,Alabama,AL,Training and Development Managers,150,135190
18,Alabama,AL,Construction Managers,8560,102970
19,Alabama,AL,"Education and Childcare Administrators, Preschool and Daycare",940,47370
20,Alabama,AL,"Education Administrators, Kindergarten through Secondary",3020,96800
21,Alabama,AL,"Education Administrators, Postsecondary",3760,116790
22,Alabama,AL,Architectural and Engineering Managers,3790,167150
23,Alabama,AL,Food Service Managers,4330,69200
24,Alabama,AL,"Entertainment and Recreation Managers, Except Gambling",190,68790
25,Alabama,AL,Lodging Managers,570,76570
26,Alabama,AL,Medical and Health Services Managers,10360,105940
27,Alabama,AL,Natural Sciences Managers,370,149190
28,Alabama,AL,Postmasters and Mail Superintendents,280,97770
29,Alabama,AL,"Property, Real Estate, and Community Association Managers",3510,65270
30,Alabama,AL,Social and Community Service Managers,2350,77910
31,Alabama,AL,Funeral Home Managers,490,71250
32,Alabama,AL,"Managers, All Other",1970,134480
33,Alabama,AL,Buyers and Purchasing Agents,8960,80360
34,Alabama,AL,"Claims Adjusters, Examiners, and Investigators",4040,80130
35,Alabama,AL,Compliance Officers,3770,78330
36,Alabama,AL,Cost Estimators,3000,77050
37,Alabama,AL,Human Resources Specialists,11080,72590
38,Alabama,AL,Labor Relations Specialists,590,55100
39,Alabama,AL,Logisticians,5190,100340
40,Alabama,AL,Project Management Specialists,3190,109660
41,Alabama,AL,Management Analysts,4900,116540
42,Alabama,AL,"Meeting, Convention, and Event Planners",980,57690
43,Alabama,AL,Fundraisers,1120,61260
44,Alabama,AL,"Compensation, Benefits, and Job Analysis Specialists",1000,67730
45,Alabama,AL,Training and Development Specialists,3000,71050
46,Alabama,AL,Market Research Analysts and Marketing Specialists,8390,68500
47,Alabama,AL,"Business Operations Specialists, All Other",6990,106330
48,Alabama,AL,Accountants and Auditors,24300,81080
49,Alabama,AL,Property Appraisers and Assessors,600,64210
50,Alabama,AL,Budget Analysts,870,101420
51,Alabama,AL,Credit Analysts,370,93100
52,Alabama,AL,Financial and Investment Analysts,3410,99690
53,Alabama,AL,Personal Financial Advisors,2540,132860
54,Alabama,AL,Insurance Underwriters,1540,76480
55,Alabama,AL,Financial Risk Specialists,180,89400
56,Alabama,AL,Loan Officers,5050,83410
57,Alabama,AL,"Tax Examiners and Collectors, and Revenue Agents",1300,63270
58,Alabama,AL,Tax Preparers,290,34070
59,Alabama,AL,"Financial Specialists, All Other",530,90540
60,Alabama,AL,Computer Systems Analysts,6560,107430
61,Alabama,AL,Information Security Analysts,4010,119070
62,Alabama,AL,Computer and Information Research Scientists,570,124970
63,Alabama,AL,Computer Network Support Specialists,940,66210
64,Alabama,AL,Computer User Support Specialists,7360,53100
65,Alabama,AL,Computer Network Architects,4200,128680
66,Alabama,AL,Database Administrators,1840,96500
67,Alabama,AL,Database Architects,270,118790
68,Alabama,AL,Network and Computer Systems Administrators,5040,89490
69,Alabama,AL,Computer Programmers,890,96410
70,Alabama,AL,Software Developers,17450,122840
71,Alabama,AL,Software Quality Assurance Analysts and Testers,1760,105650
72,Alabama,AL,Web and Digital Interface Designers,130,73190
73,Alabama,AL,"Computer Occupations, All Other",2630,106400
74,Alabama,AL,Actuaries,190,124290
75,Alabama,AL,Operations Research Analysts,550,117850
76,Alabama,AL,Statisticians,200,79820
77,Alabama,AL,Data Scientists,1740,105180
78,Alabama,AL,"Architects, Except Landscape and Naval",990,110110
79,Alabama,AL,Landscape Architects,230,94720
80,Alabama,AL,Surveyors,910,71980
81,Alabama,AL,Aerospace Engineers,5820,131910
82,Alabama,AL,Bioengineers and Biomedical Engineers,30,95290
83,Alabama,AL,Chemical Engineers,600,124470
84,Alabama,AL,Civil Engineers,5370,107550
85,Alabama,AL,Computer Hardware Engineers,680,138870
86,Alabama,AL,Electrical Engineers,4600,126380
87,Alabama,AL,"Electronics Engineers, Except Computer",1940,126500
88,Alabama,AL,Environmental Engineers,780,107220
89,Alabama,AL,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",570,112970
